Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Model Resolution (A),Evaporation Rate (A/sec),Evaporation Time (sec),Grid space (A),Raycast Length (A)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,2.5,5000.0
3.5035035035035,2.20113839262276,9.0416,9.2266,0.1,2.8255733788191,0.0,,,,,
7.00700700700701,4.40121020223817,18.0832,18.4533,0.2,5.63999551039369,0.0,,,,,
10.5105105105105,6.59914936266205,21.4235,20.5366,0.3,8.43215915635761,0.0,,,,,
14.014014014014,8.79389084110613,24.9287,22.7167,0.4,11.1910449224185,0.0,,,,,
17.5175175175175,10.98437115425,28.4354,24.8903,0.5,13.9057647468726,0.0,,,,,
21.021021021021,13.1695288835624,31.9416,27.055,0.6,16.5656048708105,0.0,,,,,
24.5245245245245,15.3483051896216,35.448,29.2095,0.7,19.1600681204283,0.0,,,,,
28.028028028028,17.5196443251869,38.9551,31.3543,0.8,21.6789153345772,0.0,,,,,
31.5315315315315,19.6824941467705,42.4633,33.4882,0.9,24.1122057740548,0.0,,,,,
35.035035035035,21.8358066244645,45.9702,35.6096,1.0,26.450336353161305,0.0,,,,,
38.5385385385385,23.9785383497736,49.4776,37.7161,1.1,28.684079538691005,0.0,,,,,
42.042042042042,26.1096510412088,52.9859,39.8089,1.2,30.804619766790996,0.0,,,,,
45.5455455455456,28.2281120473972,56.4946,41.8863,1.3,32.8035882339635,0.0,,,,,
49.0490490490491,30.3328948474627,60.0025,43.9465,1.4,34.6730959249105,0.0,,,,,
52.5525525525526,32.4229795484371,63.511,45.9901,1.5,36.4057647468726,0.0,,,,,
56.0560560560561,34.497353379459,67.0194,48.0129,1.6,37.994756647590705,0.0,,,,,
59.5595595595596,36.5550111825219,70.5281,50.0182,1.7,39.4338006019739,0.0,,,,,
63.0630630630631,38.5949558995329,74.0376,52.0026,1.8,40.7172173609709,0.0,,,,,
66.5665665665666,40.6161990554472,77.5461,53.9651,1.9,41.8399418649713,0.0,,,,,
70.0700700700701,42.6177612372435,81.0556,55.9043,2.0,42.7975432332819,0.0,,,,,
73.5735735735736,44.5986725685076,84.5643,57.8208,2.1,43.5862422507884,0.0,,,,,
77.0770770770771,46.5579731793957,88.0728,59.7123,2.2,44.202926282791,0.0,,,,,
80.5805805805806,48.4947136717488,91.5816,61.5781,2.3,44.6451615591515,0.0,,,,,
84.0840840840841,50.4079555791325,95.0903,63.4187,2.4,44.9112027792722,0.0,,,,,
87.5875875875876,52.2967718215802,98.5984,65.2316,2.5,45.0,0.0,,,,,
91.0910910910911,54.160247154819,102.1069,67.0156,2.6,44.9112027792722,0.0,,,,,
94.5945945945946,55.9974786137595,105.6149,68.7711,2.7,44.6451615591515,0.0,,,,,
98.0980980980981,57.8075759500371,109.1226,70.497,2.8,44.202926282791,0.0,,,,,
101.601601601602,59.5896620633898,112.6299,72.1915,2.9,43.5862422507884,0.0,,,,,
105.105105105105,61.3428734266662,116.1367,73.8545,3.0,42.7975432332819,0.0,,,,,
108.608608608609,63.0663605042557,119.6436,75.485,3.1,41.8399418649713,0.0,,,,,
112.112112112112,64.7592881637394,123.1501,77.0828,3.2,40.7172173609709,0.0,,,,,
115.615615615616,66.4208360805614,126.6561,78.6474,3.3,39.4338006019738,0.0,,,,,
119.119119119119,68.0501991355253,130.1601,80.1751,3.4,37.994756647590705,0.0,,,,,
122.622622622623,69.6465878049222,133.6643,81.6686,3.5,36.4057647468726,0.0,,,,,
126.126126126126,71.2092285431025,137.1682,83.1256,3.6,34.6730959249105,0.0,,,,,
129.62962962963,72.7373641573049,140.6701,84.5453,3.7,32.8035882339635,0.0,,,,,
133.133133133133,74.2302541745609,144.173,85.9274,3.8,30.804619766790996,0.0,,,,,
136.636636636637,75.6871752004992,147.6735,87.2713,3.9,28.684079538691005,0.0,,,,,
140.14014014014,77.1074212698725,151.1746,88.5766,4.0,26.450336353161305,0.0,,,,,
143.643643643644,78.4903041886405,154.6738,89.8422,4.1,24.1122057740548,0.0,,,,,
147.147147147147,79.8351538674406,158.172,91.0673,4.2,21.6789153345772,0.0,,,,,
150.650650650651,81.1413186462866,161.6693,92.2524,4.3,19.1600681204283,0.0,,,,,
154.154154154154,82.4081656103364,165.1661,93.3943,4.4,16.5656048708105,0.0,,,,,
157.657657657658,83.6350808965776,168.6607,94.4959,4.5,13.9057647468726,0.0,,,,,
161.161161161161,84.8214699912802,172.1553,95.5539,4.6,11.1910449224184,0.0,,,,,
164.664664664665,85.9667580180745,175.6479,96.5699,4.7,8.4321591563576,0.0,,,,,
168.168168168168,87.0703900165128,179.1397,97.5418,4.8,5.63999551039368,0.0,,,,,
171.671671671672,88.1318312109807,182.6296,98.4706,4.9,2.82557337881909,0.0,,,,,
175.175175175175,89.1505672698284,186.119,99.354,5.0,0.0,0.0,,,,,
178.678678678679,90.1261045545945,189.6074,100.1939,5.1,-2.82557337881914,0.0,,,,,
182.182182182182,91.0579703592036,193.0947,100.9887,5.2,-5.6399955103937,0.0,,,,,
185.685685685686,91.9457131390205,196.58,101.7377,5.3,-8.43215915635762,0.0,,,,,
189.189189189189,92.7889027296509,200.0644,102.4406,5.4,-11.1910449224185,0.0,,,,,
192.692692692693,93.5871305553812,203.5482,103.0975,5.5,-13.9057647468726,0.0,,,,,
196.196196196196,94.3400098271581,207.0304,103.7083,5.6,-16.5656048708105,0.0,,,,,
199.6996996997,95.0471757300112,210.5129,104.2733,5.7,-19.1600681204283,0.0,,,,,
203.203203203203,95.7082855998271,213.9929,104.7907,5.8,-21.6789153345772,0.0,,,,,
206.706706706707,96.3230190893913,217.4731,105.2619,5.9,-24.1122057740549,0.0,,,,,
210.21021021021,96.891078323615,220.9511,105.6853,6.0,-26.450336353161305,0.0,,,,,
213.713713713714,97.4121880438736,224.4285,106.0606,6.1,-28.6840795386911,0.0,,,,,
217.217217217217,97.8860957413862,227.9054,106.3896,6.2,-30.804619766790996,0.0,,,,,
220.720720720721,98.3125717795704,231.3823,106.6709,6.3,-32.8035882339635,0.0,,,,,
