Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Model Resolution (A),Evaporation Rate (A/sec),Evaporation Time (sec),Grid space (A),Raycast Length (A)
0.0,500.0,0.0,500.0,0.0,0.0,0.0,10.0,1.0,100.0,2.5,5000.0
800.0,500.0,-0.1493,513.9206,0.1,2.8255733788191,0.0,,,,,
700.0,0.0,-0.2986,527.8413,0.2,5.63999551039369,0.0,,,,,
1300.0,0.0,0.9463,538.8099,0.3,8.43215915635761,0.0,,,,,
,,4.8594,551.872,0.4,11.1910449224185,0.0,,,,,
,,13.4463,565.4511,0.5,13.9057647468726,0.0,,,,,
,,24.2218,573.6622,0.6,16.5656048708105,0.0,,,,,
,,30.2014,573.6622,0.7,19.1600681204283,0.0,,,,,
,,40.2014,573.6622,0.8,21.6789153345772,0.0,,,,,
,,50.2014,573.6622,0.9,24.1122057740548,0.0,,,,,
,,60.2014,573.6622,1.0,26.450336353161305,0.0,,,,,
,,70.2014,573.6622,1.1,28.684079538691005,0.0,,,,,
,,80.2014,573.6622,1.2,30.804619766790996,0.0,,,,,
,,90.2014,573.6622,1.3,32.8035882339635,0.0,,,,,
,,100.2014,573.6622,1.4,34.6730959249105,0.0,,,,,
,,110.2014,573.6622,1.5,36.4057647468726,0.0,,,,,
,,120.2014,573.6622,1.6,37.994756647590705,0.0,,,,,
,,130.2014,573.6622,1.7,39.4338006019739,0.0,,,,,
,,140.2014,573.6622,1.8,40.7172173609709,0.0,,,,,
,,150.2014,573.6622,1.9,41.8399418649713,0.0,,,,,
,,160.2014,573.6622,2.0,42.7975432332819,0.0,,,,,
,,170.2014,573.6622,2.1,43.5862422507884,0.0,,,,,
,,180.2014,573.6622,2.2,44.202926282791,0.0,,,,,
,,190.2014,573.6622,2.3,44.6451615591515,0.0,,,,,
,,200.2014,573.6622,2.4,44.9112027792722,0.0,,,,,
,,210.2014,573.6622,2.5,45.0,0.0,,,,,
,,220.2014,573.6622,2.6,44.9112027792722,0.0,,,,,
,,230.2014,573.6622,2.7,44.6451615591515,0.0,,,,,
,,240.2014,573.6622,2.8,44.202926282791,0.0,,,,,
,,250.2014,573.6622,2.9,43.5862422507884,0.0,,,,,
,,260.2014,573.6622,3.0,42.7975432332819,0.0,,,,,
,,270.2014,573.6622,3.1,41.8399418649713,0.0,,,,,
,,280.2014,573.6622,3.2,40.7172173609709,0.0,,,,,
,,290.2014,573.6622,3.3,39.4338006019738,0.0,,,,,
,,300.2014,573.6622,3.4,37.994756647590705,0.0,,,,,
,,310.2014,573.6622,3.5,36.4057647468726,0.0,,,,,
,,320.2014,573.6622,3.6,34.6730959249105,0.0,,,,,
,,330.2014,573.6622,3.7,32.8035882339635,0.0,,,,,
,,340.2014,573.6622,3.8,30.804619766790996,0.0,,,,,
,,350.2014,573.6622,3.9,28.684079538691005,0.0,,,,,
,,360.2014,573.6622,4.0,26.450336353161305,0.0,,,,,
,,370.2014,573.6622,4.1,24.1122057740548,0.0,,,,,
,,380.2014,573.6622,4.2,21.6789153345772,0.0,,,,,
,,390.2014,573.6622,4.3,19.1600681204283,0.0,,,,,
,,400.2014,573.6622,4.4,16.5656048708105,0.0,,,,,
,,410.2014,573.6622,4.5,13.9057647468726,0.0,,,,,
,,420.2014,573.6622,4.6,11.1910449224184,0.0,,,,,
,,430.2014,573.6622,4.7,8.4321591563576,0.0,,,,,
,,440.2014,573.6622,4.8,5.63999551039368,0.0,,,,,
,,450.2014,573.6622,4.9,2.82557337881909,0.0,,,,,
,,460.2014,573.6622,5.0,0.0,0.0,,,,,
,,470.2014,573.6622,5.1,-2.82557337881914,0.0,,,,,
,,480.2014,573.6622,5.2,-5.6399955103937,0.0,,,,,
,,490.2014,573.6622,5.3,-8.43215915635762,0.0,,,,,
,,500.2014,573.6622,5.4,-11.1910449224185,0.0,,,,,
,,510.2014,573.6622,5.5,-13.9057647468726,0.0,,,,,
,,520.2014,573.6622,5.6,-16.5656048708105,0.0,,,,,
,,530.2014,573.6622,5.7,-19.1600681204283,0.0,,,,,
,,540.2014,573.6622,5.8,-21.6789153345772,0.0,,,,,
,,550.2014,573.6622,5.9,-24.1122057740549,0.0,,,,,
,,560.2014,573.6622,6.0,-26.450336353161305,0.0,,,,,
,,570.2014,573.6622,6.1,-28.6840795386911,0.0,,,,,
,,580.2014,573.6622,6.2,-30.804619766790996,0.0,,,,,
,,590.2014,573.6622,6.3,-32.8035882339635,0.0,,,,,
,,600.2014,573.6622,6.4,-34.6730959249105,0.0,,,,,
,,610.2014,573.6622,6.5,-36.4057647468726,0.0,,,,,
,,620.2014,573.6622,6.6,-37.994756647590705,0.0,,,,,
,,630.2014,573.6622,6.7,-39.4338006019739,0.0,,,,,
,,640.2014,573.6622,6.8,-40.7172173609709,0.0,,,,,
,,650.2014,573.6622,6.9,-41.8399418649713,0.0,,,,,
,,660.2014,573.6622,7.0,-42.7975432332819,0.0,,,,,
,,670.2014,573.6622,7.1,-43.5862422507884,0.0,,,,,
,,680.2014,573.6622,7.2,-44.202926282791,0.0,,,,,
,,690.2014,573.6622,7.3,-44.6451615591515,0.0,,,,,
,,700.2014,573.6622,7.4,-44.9112027792722,0.0,,,,,
,,710.2014,573.6622,7.5,-45.0,0.0,,,,,
,,720.2014,573.6622,7.6,-44.9112027792722,0.0,,,,,
,,730.2014,573.6622,7.7,-44.6451615591515,0.0,,,,,
,,740.2014,573.6622,7.8,-44.202926282791,0.0,,,,,
,,750.2014,573.6622,7.9,-43.5862422507884,0.0,,,,,
,,760.2014,573.6622,8.0,-42.7975432332819,0.0,,,,,
,,770.2014,573.6622,8.1,-41.8399418649713,0.0,,,,,
,,780.2014,573.6622,8.2,-40.7172173609709,0.0,,,,,
,,790.2014,573.6622,8.3,-39.4338006019738,0.0,,,,,
,,795.4201,573.6622,8.4,-37.994756647590705,0.0,,,,,
,,800.3371,564.9477,8.5,-36.4057647468726,0.0,,,,,
,,805.254,556.2332,8.6,-34.6730959249105,0.0,,,,,
,,809.6644,543.595,8.7,-32.8035882339635,0.0,,,,,
,,810.5607,533.507,8.8,-30.804619766790996,0.0,,,,,
,,811.4425,523.5234,8.9,-28.684079538691005,0.0,,,,,
,,807.9998,505.4405,9.0,-26.450336353161305,0.0,,,,,
,,805.9722,495.304,9.1,-24.1122057740549,0.0,,,,,
,,803.9703,485.2957,9.2,-21.6789153345771,0.0,,,,,
,,801.9677,475.2824,9.3,-19.1600681204282,0.0,,,,,
,,799.9642,465.265,9.4,-16.5656048708105,0.0,,,,,
,,797.96,455.2438,9.5,-13.9057647468726,0.0,,,,,
,,795.955,445.2191,9.6,-11.1910449224184,0.0,,,,,
,,793.9494,435.1912,9.7,-8.43215915635755,0.0,,,,,
,,791.9432,425.1604,9.8,-5.63999551039367,0.0,,,,,
,,789.9366,415.127,9.9,-2.82557337881907,0.0,,,,,
,,787.9295,405.0914,10.0,0.0,0.0,,,,,
,,785.922,395.0536,,,,,,,,
,,783.9141,385.0142,,,,,,,,
,,781.9059,374.9735,,,,,,,,
,,779.8802,364.8448,,,,,,,,
,,777.8713,354.8005,,,,,,,,
,,775.8624,344.7559,,,,,,,,
,,773.8444,334.6656,,,,,,,,
,,771.8353,324.6203,,,,,,,,
,,769.8263,314.575,,,,,,,,
,,767.8084,304.4854,,,,,,,,
,,765.7995,294.4411,,,,,,,,
,,763.7908,284.3974,,,,,,,,
,,761.7656,274.2715,,,,,,,,
,,759.7577,264.2323,,,,,,,,
,,757.7656,254.2715,,,,,,,,
,,755.7908,244.3974,,,,,,,,
,,753.7995,234.4411,,,,,,,,
,,751.8084,224.4854,,,,,,,,
,,749.8263,214.5751,,,,,,,,
,,747.8353,204.6203,,,,,,,,
,,745.8444,194.6656,,,,,,,,
,,743.8624,184.7557,,,,,,,,
,,741.8713,174.8005,,,,,,,,
,,739.8802,164.8448,,,,,,,,
