Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Model Resolution (A),Evaporation Rate (A/sec),Evaporation Time (sec),Grid space (A),Raycast Length (A)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,100.0,2.5,5000.0
200.0,0.0,0.679,13.6966,0.1,2.8255733788191,0.0,,,,,
200.0,500.0,1.3579,27.3932,0.2,5.63999551039369,0.0,,,,,
800.0,500.0,3.397,38.0705,0.3,8.43215915635761,0.0,,,,,
800.0,0.0,7.9463,48.8472,0.4,11.1910449224185,0.0,,,,,
1000.0,0.0,8.71745,49.42005,0.5,13.9057647468726,0.0,,,,,
,,9.4886,49.9929,0.6,16.5656048708105,0.0,,,,,
,,15.9213,49.4492,0.7,19.1600681204283,0.0,,,,,
,,25.3822,48.9188,0.8,21.6789153345772,0.0,,,,,
,,35.1132,48.1787,0.9,24.1122057740548,0.0,,,,,
,,44.616,47.341,1.0,26.450336353161305,0.0,,,,,
,,56.1896,46.4924,1.1,28.684079538691005,0.0,,,,,
,,64.0767,45.7259,1.2,30.804619766790996,0.0,,,,,
,,73.6452,45.1673,1.3,32.8035882339635,0.0,,,,,
,,83.4402,44.1967,1.4,34.6730959249105,0.0,,,,,
,,93.2047,43.4197,1.5,36.4057647468726,0.0,,,,,
,,106.8831,42.434,1.6,37.994756647590705,0.0,,,,,
,,112.894,41.8419,1.7,39.4338006019739,0.0,,,,,
,,122.6894,41.0587,1.8,40.7172173609709,0.0,,,,,
,,132.6891,40.2614,1.9,41.8399418649713,0.0,,,,,
,,142.5438,39.468,2.0,42.7975432332819,0.0,,,,,
,,152.5322,38.6677,2.1,43.5862422507884,0.0,,,,,
,,162.6618,36.8769,2.2,44.202926282791,0.0,,,,,
,,172.62,35.1942,2.3,44.6451615591515,0.0,,,,,
,,186.8622,32.3014,2.4,44.9112027792722,0.0,,,,,
,,186.8622,38.5786,2.5,45.0,0.0,,,,,
,,186.8622,48.5786,2.6,44.9112027792722,0.0,,,,,
,,186.8622,58.5786,2.7,44.6451615591515,0.0,,,,,
,,186.8622,68.5786,2.8,44.202926282791,0.0,,,,,
,,186.8622,78.5786,2.9,43.5862422507884,0.0,,,,,
,,186.8622,88.5786,3.0,42.7975432332819,0.0,,,,,
,,186.8622,98.5786,3.1,41.8399418649713,0.0,,,,,
,,186.8622,108.5786,3.2,40.7172173609709,0.0,,,,,
,,186.8622,118.5786,3.3,39.4338006019738,0.0,,,,,
,,186.8622,128.5786,3.4,37.994756647590705,0.0,,,,,
,,186.8622,138.5786,3.5,36.4057647468726,0.0,,,,,
,,186.8622,148.5786,3.6,34.6730959249105,0.0,,,,,
,,186.8622,158.5786,3.7,32.8035882339635,0.0,,,,,
,,186.8622,168.5786,3.8,30.804619766790996,0.0,,,,,
,,186.8622,178.5786,3.9,28.684079538691005,0.0,,,,,
,,186.8622,188.5786,4.0,26.450336353161305,0.0,,,,,
,,186.8622,198.5786,4.1,24.1122057740548,0.0,,,,,
,,186.8622,208.5786,4.2,21.6789153345772,0.0,,,,,
,,186.8622,218.5786,4.3,19.1600681204283,0.0,,,,,
,,186.8622,228.5786,4.4,16.5656048708105,0.0,,,,,
,,186.8622,238.5786,4.5,13.9057647468726,0.0,,,,,
,,186.8622,248.5786,4.6,11.1910449224184,0.0,,,,,
,,186.8622,258.5786,4.7,8.4321591563576,0.0,,,,,
,,186.8622,268.5786,4.8,5.63999551039368,0.0,,,,,
,,186.8622,278.5786,4.9,2.82557337881909,0.0,,,,,
,,186.8622,288.5786,5.0,0.0,0.0,,,,,
,,186.8622,298.5786,5.1,-2.82557337881914,0.0,,,,,
,,186.8622,308.5786,5.2,-5.6399955103937,0.0,,,,,
,,186.8622,318.5786,5.3,-8.43215915635762,0.0,,,,,
,,186.8622,328.5786,5.4,-11.1910449224185,0.0,,,,,
,,186.8622,338.5786,5.5,-13.9057647468726,0.0,,,,,
,,186.8622,348.5786,5.6,-16.5656048708105,0.0,,,,,
,,186.8622,358.5786,5.7,-19.1600681204283,0.0,,,,,
,,186.8622,368.5786,5.8,-21.6789153345772,0.0,,,,,
,,186.8622,378.5786,5.9,-24.1122057740549,0.0,,,,,
,,186.8622,388.5786,6.0,-26.450336353161305,0.0,,,,,
,,186.8622,398.5786,6.1,-28.6840795386911,0.0,,,,,
,,186.8622,408.5786,6.2,-30.804619766790996,0.0,,,,,
,,186.8622,418.5786,6.3,-32.8035882339635,0.0,,,,,
,,186.8622,428.5786,6.4,-34.6730959249105,0.0,,,,,
,,186.8622,438.5786,6.5,-36.4057647468726,0.0,,,,,
,,186.8622,448.5786,6.6,-37.994756647590705,0.0,,,,,
,,186.8622,458.5786,6.7,-39.4338006019739,0.0,,,,,
,,186.8622,468.5786,6.8,-40.7172173609709,0.0,,,,,
,,186.8622,478.5786,6.9,-41.8399418649713,0.0,,,,,
,,186.8622,488.5786,7.0,-42.7975432332819,0.0,,,,,
,,186.8622,498.5993,7.1,-43.5862422507884,0.0,,,,,
,,186.8622,517.2844,7.2,-44.202926282791,0.0,,,,,
,,187.0057,534.9691,7.3,-44.6451615591515,0.0,,,,,
,,191.8387,552.0131,7.4,-44.9112027792722,0.0,,,,,
