Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Model Resolution (A),Evaporation Rate (A/sec),Evaporation Time (sec),Grid space (A),Raycast Length (A)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,50.0,2.5,5000.0
200.0,0.0,5.9228,9.343,0.1,2.8255733788191,0.0,,,,,
200.0,500.0,11.8455,18.6861,0.2,5.63999551039369,0.0,,,,,
800.0,500.0,17.46,24.984,0.3,8.43215915635761,0.0,,,,,
800.0,0.0,24.7904,24.6962,0.4,11.1910449224185,0.0,,,,,
1000.0,0.0,32.8553,24.6962,0.5,13.9057647468726,0.0,,,,,
,,42.5598,24.1531,0.6,16.5656048708105,0.0,,,,,
,,52.4726,23.779,0.7,19.1600681204283,0.0,,,,,
,,62.1984,23.5024,0.8,21.6789153345772,0.0,,,,,
,,73.9221,22.8352,0.9,24.1122057740548,0.0,,,,,
,,81.9597,22.8352,1.0,26.450336353161305,0.0,,,,,
,,91.7549,22.2644,1.1,28.684079538691005,0.0,,,,,
,,101.669,21.8746,1.2,30.804619766790996,0.0,,,,,
,,111.5234,21.487,1.3,32.8035882339635,0.0,,,,,
,,125.2446,20.8952,1.4,34.6730959249105,0.0,,,,,
,,131.3784,20.8952,1.5,36.4057647468726,0.0,,,,,
,,141.2851,20.1044,1.6,37.994756647590705,0.0,,,,,
,,151.2891,19.9055,1.7,39.4338006019739,0.0,,,,,
,,161.2206,19.5084,1.8,40.7172173609709,0.0,,,,,
,,171.2176,18.9077,1.9,41.8399418649713,0.0,,,,,
,,181.185,17.9445,2.0,42.7975432332819,0.0,,,,,
,,193.4072,16.7613,2.1,43.5862422507884,0.0,,,,,
,,193.4072,19.3418,2.2,44.202926282791,0.0,,,,,
,,193.4072,29.3418,2.3,44.6451615591515,0.0,,,,,
,,193.4072,39.3418,2.4,44.9112027792722,0.0,,,,,
,,193.4072,49.3418,2.5,45.0,0.0,,,,,
,,193.4072,59.3418,2.6,44.9112027792722,0.0,,,,,
,,193.4072,69.3418,2.7,44.6451615591515,0.0,,,,,
,,193.4072,79.3418,2.8,44.202926282791,0.0,,,,,
,,193.4072,89.3418,2.9,43.5862422507884,0.0,,,,,
,,193.4072,99.3418,3.0,42.7975432332819,0.0,,,,,
,,193.4072,109.3418,3.1,41.8399418649713,0.0,,,,,
,,193.4072,119.3418,3.2,40.7172173609709,0.0,,,,,
,,193.4072,129.3418,3.3,39.4338006019738,0.0,,,,,
,,193.4072,139.3418,3.4,37.994756647590705,0.0,,,,,
,,193.4072,149.3418,3.5,36.4057647468726,0.0,,,,,
,,193.4072,159.3418,3.6,34.6730959249105,0.0,,,,,
,,193.4072,169.3418,3.7,32.8035882339635,0.0,,,,,
,,193.4072,179.3418,3.8,30.804619766790996,0.0,,,,,
,,193.4072,189.3418,3.9,28.684079538691005,0.0,,,,,
,,193.4072,199.3418,4.0,26.450336353161305,0.0,,,,,
,,193.4072,209.3418,4.1,24.1122057740548,0.0,,,,,
