Model x (A),Model y (A),Evap x (A),Evap y (A),Time (sec),Theta (deg),Phi (deg),Model Resolution (A),Evaporation Rate (A/sec),Evaporation Time (sec),Grid space (A),Raycast Length (A)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,500.0,2.5,5000.0
200.0,0.0,-5.301,9.128,0.1,2.8255733788191,0.0,,,,,
200.0,500.0,-10.6019,18.256,0.2,5.63999551039369,0.0,,,,,
800.0,500.0,-15.6635,27.0794,0.3,8.43215915635761,0.0,,,,,
800.0,0.0,-21.3047,38.0193,0.4,11.1910449224185,0.0,,,,,
1000.0,0.0,-27.6578,52.0775,0.5,13.9057647468726,0.0,,,,,
,,-34.4938,70.0904,0.6,16.5656048708105,0.0,,,,,
,,-37.8594,81.3739,0.7,19.1600681204283,0.0,,,,,
,,-41.3614,93.1254,0.8,21.6789153345772,0.0,,,,,
,,-44.219,107.0455,0.9,24.1122057740548,0.0,,,,,
,,-47.2969,122.0948,1.0,26.450336353161305,0.0,,,,,
,,-48.9449,139.0449,1.1,28.684079538691005,0.0,,,,,
,,-50.723,157.6243,1.2,30.804619766790996,0.0,,,,,
,,-50.4338,167.9249,1.3,32.8035882339635,0.0,,,,,
,,-50.1532,177.936,1.4,34.6730959249105,0.0,,,,,
,,-49.8191,188.0234,1.5,36.4057647468726,0.0,,,,,
,,-49.329,201.8742,1.6,37.994756647590705,0.0,,,,,
,,-47.2551,212.0204,1.7,39.4338006019739,0.0,,,,,
,,-45.0911,222.5297,1.8,40.7172173609709,0.0,,,,,
,,-38.2066,232.7396,1.9,41.8399418649713,0.0,,,,,
,,-36.4196,232.01725,2.0,42.7975432332819,0.0,,,,,
,,-34.6326,231.2949,2.1,43.5862422507884,0.0,,,,,
,,-27.8663,228.4924,2.2,44.202926282791,0.0,,,,,
,,-19.2217,224.751,2.3,44.6451615591515,0.0,,,,,
,,-10.6621,220.6807,2.4,44.9112027792722,0.0,,,,,
,,-0.9208,217.0269,2.5,45.0,0.0,,,,,
,,11.7442,211.2273,2.6,44.9112027792722,0.0,,,,,
,,26.2835,203.8319,2.7,44.6451615591515,0.0,,,,,
,,39.0689,196.8486,2.8,44.202926282791,0.0,,,,,
,,53.3131,188.9707,2.9,43.5862422507884,0.0,,,,,
,,69.5806,179.3522,3.0,42.7975432332819,0.0,,,,,
,,84.4805,168.907,3.1,41.8399418649713,0.0,,,,,
,,98.9247,159.3821,3.2,40.7172173609709,0.0,,,,,
,,112.8655,148.1419,3.3,39.4338006019738,0.0,,,,,
,,123.5615,139.4078,3.4,37.994756647590705,0.0,,,,,
,,128.0703,137.0941,3.5,36.4057647468726,0.0,,,,,
,,135.32,132.8142,3.6,34.6730959249105,0.0,,,,,
,,135.32,142.022,3.7,32.8035882339635,0.0,,,,,
,,135.32,152.022,3.8,30.804619766790996,0.0,,,,,
,,135.32,162.022,3.9,28.684079538691005,0.0,,,,,
,,135.32,172.022,4.0,26.450336353161305,0.0,,,,,
,,135.32,182.022,4.1,24.1122057740548,0.0,,,,,
,,135.32,192.022,4.2,21.6789153345772,0.0,,,,,
,,135.32,202.022,4.3,19.1600681204283,0.0,,,,,
,,135.32,212.022,4.4,16.5656048708105,0.0,,,,,
,,135.32,222.022,4.5,13.9057647468726,0.0,,,,,
,,135.32,232.022,4.6,11.1910449224184,0.0,,,,,
,,135.32,242.022,4.7,8.4321591563576,0.0,,,,,
,,135.32,252.022,4.8,5.63999551039368,0.0,,,,,
,,135.32,262.022,4.9,2.82557337881909,0.0,,,,,
,,135.32,272.022,5.0,0.0,0.0,,,,,
,,135.32,282.022,5.1,-2.82557337881914,0.0,,,,,
,,135.32,292.022,5.2,-5.6399955103937,0.0,,,,,
,,135.32,302.022,5.3,-8.43215915635762,0.0,,,,,
,,135.32,312.022,5.4,-11.1910449224185,0.0,,,,,
,,135.32,322.022,5.5,-13.9057647468726,0.0,,,,,
,,135.32,332.022,5.6,-16.5656048708105,0.0,,,,,
,,135.32,342.022,5.7,-19.1600681204283,0.0,,,,,
,,135.32,352.022,5.8,-21.6789153345772,0.0,,,,,
,,135.32,362.022,5.9,-24.1122057740549,0.0,,,,,
,,135.32,372.022,6.0,-26.450336353161305,0.0,,,,,
,,135.32,382.022,6.1,-28.6840795386911,0.0,,,,,
,,135.32,392.022,6.2,-30.804619766790996,0.0,,,,,
,,135.32,402.022,6.3,-32.8035882339635,0.0,,,,,
,,135.32,412.022,6.4,-34.6730959249105,0.0,,,,,
,,135.32,422.022,6.5,-36.4057647468726,0.0,,,,,
,,135.32,432.022,6.6,-37.994756647590705,0.0,,,,,
,,135.32,442.022,6.7,-39.4338006019739,0.0,,,,,
,,135.32,452.022,6.8,-40.7172173609709,0.0,,,,,
,,135.32,462.022,6.9,-41.8399418649713,0.0,,,,,
,,135.32,472.022,7.0,-42.7975432332819,0.0,,,,,
,,135.32,482.022,7.1,-43.5862422507884,0.0,,,,,
,,135.32,492.022,7.2,-44.202926282791,0.0,,,,,
,,135.32,502.022,7.3,-44.6451615591515,0.0,,,,,
,,135.32,512.022,7.4,-44.9112027792722,0.0,,,,,
,,135.32,522.022,7.5,-45.0,0.0,,,,,
,,135.32,532.022,7.6,-44.9112027792722,0.0,,,,,
,,135.32,542.022,7.7,-44.6451615591515,0.0,,,,,
,,135.32,552.022,7.8,-44.202926282791,0.0,,,,,
,,135.32,562.022,7.9,-43.5862422507884,0.0,,,,,
,,135.32,572.0427,8.0,-42.7975432332819,0.0,,,,,
,,135.32,582.0544,8.1,-41.8399418649713,0.0,,,,,
,,135.32,592.0563,8.2,-40.7172173609709,0.0,,,,,
,,135.32,602.0594,8.3,-39.4338006019738,0.0,,,,,
,,135.32,612.0784,8.4,-37.994756647590705,0.0,,,,,
,,135.32,622.0947,8.5,-36.4057647468726,0.0,,,,,
,,135.32,632.1081,8.6,-34.6730959249105,0.0,,,,,
,,135.32,642.1105,8.7,-32.8035882339635,0.0,,,,,
,,135.32,652.1167,8.8,-30.804619766790996,0.0,,,,,
,,135.32,665.5187,8.9,-28.684079538691005,0.0,,,,,
,,135.4563,677.694,9.0,-26.450336353161305,0.0,,,,,
,,135.6842,688.8717,9.1,-24.1122057740549,0.0,,,,,
,,135.9797,699.383,9.2,-21.6789153345771,0.0,,,,,
,,136.7157,718.5836,9.3,-19.1600681204282,0.0,,,,,
,,140.5678,732.1453,9.4,-16.5656048708105,0.0,,,,,
,,143.3044,741.7743,9.5,-13.9057647468726,0.0,,,,,
,,146.1499,751.7647,9.6,-11.1910449224184,0.0,,,,,
,,149.0548,761.7181,9.7,-8.43215915635755,0.0,,,,,
,,153.9203,778.0849,9.8,-5.63999551039367,0.0,,,,,
,,162.7188,795.5289,9.9,-2.82557337881907,0.0,,,,,
,,170.6086,811.0083,10.0,0.0,0.0,,,,,
,,177.1755,820.421,,,,,,,,
,,183.3701,829.2945,,,,,,,,
,,192.7015,840.8585,,,,,,,,
,,200.4869,849.7408,,,,,,,,
,,207.5058,857.3872,,,,,,,,
,,218.6756,869.32,,,,,,,,
,,221.878,869.32,,,,,,,,
,,231.878,869.32,,,,,,,,
,,241.878,869.32,,,,,,,,
,,251.878,869.32,,,,,,,,
,,261.878,869.32,,,,,,,,
,,271.878,869.32,,,,,,,,
,,281.878,869.32,,,,,,,,
,,291.878,869.32,,,,,,,,
,,301.878,869.32,,,,,,,,
,,311.878,869.32,,,,,,,,
,,321.878,869.32,,,,,,,,
,,331.878,869.32,,,,,,,,
,,341.878,869.32,,,,,,,,
,,351.878,869.32,,,,,,,,
,,361.878,869.32,,,,,,,,
,,371.878,869.32,,,,,,,,
,,381.878,869.32,,,,,,,,
,,391.878,869.32,,,,,,,,
,,401.878,869.32,,,,,,,,
,,411.878,869.32,,,,,,,,
,,421.878,869.32,,,,,,,,
,,431.878,869.32,,,,,,,,
,,441.878,869.32,,,,,,,,
,,451.878,869.32,,,,,,,,
,,461.878,869.32,,,,,,,,
,,471.878,869.32,,,,,,,,
,,481.878,869.32,,,,,,,,
,,491.878,869.32,,,,,,,,
,,501.878,869.32,,,,,,,,
,,511.878,869.32,,,,,,,,
,,521.878,869.32,,,,,,,,
,,531.878,869.32,,,,,,,,
,,541.878,869.32,,,,,,,,
,,551.878,869.32,,,,,,,,
,,561.878,869.32,,,,,,,,
,,571.878,869.32,,,,,,,,
,,581.878,869.32,,,,,,,,
,,591.878,869.32,,,,,,,,
,,601.878,869.32,,,,,,,,
,,611.878,869.32,,,,,,,,
,,621.878,869.32,,,,,,,,
,,631.878,869.32,,,,,,,,
,,641.878,869.32,,,,,,,,
,,651.878,869.32,,,,,,,,
,,661.878,869.32,,,,,,,,
,,671.878,869.32,,,,,,,,
,,681.878,869.32,,,,,,,,
,,691.878,869.32,,,,,,,,
,,701.878,869.32,,,,,,,,
,,711.878,869.32,,,,,,,,
,,721.878,869.32,,,,,,,,
,,731.878,869.32,,,,,,,,
,,741.878,869.32,,,,,,,,
,,751.878,869.32,,,,,,,,
,,761.878,869.32,,,,,,,,
,,771.878,869.32,,,,,,,,
,,781.878,869.32,,,,,,,,
,,785.3352,869.32,,,,,,,,
,,796.2535,857.6586,,,,,,,,
,,803.3317,849.889,,,,,,,,
,,811.2285,840.7454,,,,,,,,
,,820.9898,828.3792,,,,,,,,
,,827.4117,818.6378,,,,,,,,
,,834.4462,807.9457,,,,,,,,
,,842.4683,790.6518,,,,,,,,
,,846.6498,781.487,,,,,,,,
,,851.8699,770.0498,,,,,,,,
,,854.1977,760.1326,,,,,,,,
,,856.4883,750.38,,,,,,,,
,,858.8353,739.9567,,,,,,,,
,,861.0563,729.7454,,,,,,,,
,,863.1742,719.9676,,,,,,,,
,,865.4025,709.6809,,,,,,,,
,,865.6078,698.5568,,,,,,,,
,,865.7896,688.5162,,,,,,,,
,,865.9224,678.0044,,,,,,,,
,,866.0,666.8081,,,,,,,,
,,866.0,653.979,,,,,,,,
,,866.0,643.9753,,,,,,,,
,,866.0,633.9682,,,,,,,,
,,866.0,623.9614,,,,,,,,
,,866.0,613.9383,,,,,,,,
,,866.0,603.9378,,,,,,,,
,,866.0,593.9198,,,,,,,,
,,866.0,583.9193,,,,,,,,
,,866.0,573.9127,,,,,,,,
,,866.0,563.9,,,,,,,,
,,866.0,553.9,,,,,,,,
,,866.0,543.9,,,,,,,,
,,866.0,533.9,,,,,,,,
,,866.0,523.9,,,,,,,,
,,866.0,513.9,,,,,,,,
,,866.0,503.9,,,,,,,,
,,866.0,493.9,,,,,,,,
,,866.0,483.9,,,,,,,,
,,866.0,473.9,,,,,,,,
,,866.0,463.9,,,,,,,,
